,Unnamed: 0,title,guest_favorite,rating,number_reviews,type_host,hosting_time,price,all_reviews,complete_data_list
38,38,78RoE-Quiet with shared bathroom,False,4.90,10.0,Superhost,4 years hosting,€ 168 ,"['great house! would stay again', 'Yonghong’s listing matched the description, the host was very friendly, hospitable and responsive and was able to accommodate my check in time. The neighborhood was quiet and getting in and out of the place was easy (:', 'Very comfortable, clan & quiet place. Good location.\nYong is very responsive & personal.', 'Nice clean quiet place . Close to Chinatown . Wonderful', 'The house was clean and quiet. A great place to relax. Yonghong was responsive, and pleasant to talk to.', 'very communicative hosts.', 'very comfortable stay', 'Great host. Responds very quickly. Always willing to help. Had a great stay will come back if im ever in town.', 'Thank You for everything', 'Great place!']",['1 bed · Shared bathroom']
39,39,Welcome to your Las Vegas Getaway!,False,5.0,4.0,normal_host,1 month hosting,€ 75 ,"['I would say really recommend place. House is awesome. Host is friendly. You will definitely recommend the place from your friends and relatives. Will definitely rent there place again once we comeback in Vegas', ""Such a great spot to stay at!!! So close to the strip with beautiful decor. You feel like you're at home! Would definitely recommend."", 'Place was so cute and well organized and clean! We loved everything about it. Super close to the strip.', ""I love it.\nthe house was beautiful, backyard, front yard & everything about the house was wonderful. we had a last minute changes for my baby brothers 1 year anniversary and I asked if we could have the dinner at the house and she replied back so quick that it was okay. best host and I am thankful and grateful that Gabriela was able to let us have it at the Airbnb. id recommend her home for future books.. you won't regret it..""]",['8 guests · 3 bedrooms · 3 beds · 2 baths']
40,40,"Private 1-bd, 10 min from the strip 5 mins airport",True,"Rated 4.95 out of 5 stars.
4.95",,Superhost,3 years hosting,€ 271 ,"['Great place close to the strip and airport', 'Barbara met our every need! Very responsive. Hospitality plus ! With total privacy except when we asked.\nAppliances very up to date. In our aging years. , we had some questions. Immediate response with dtr to come to our place and so willingly and very very pleasant.', ""We stayed two nights in the beautiful B&B of Barbara. It's well located for exploring the attractions of Las Vegas, but still quiet and safe.\nWe felt very comfortable here. Great decor. There's nothing missing. One of the very best B&B on our trip. My first choice for overnight stays in Las Vegas.\nMany thanks to Barbara."", 'We spent a wonderful few days in this accommodation. The apartment was super clean and well equipped, feeling at home. The location was perfect for exploring the city. Thank you for everything!', ""We would highly recommend Barabra's Guest Suite! We only stayed one night as we were flying back home the next morning. The location was excellent for getting to the airport. It was very quiet, easy to find, had parking right by the entrance gate and a very early check-in time which work well for us. It was clean and welcoming with snacks and water for us. We will stay here again if we need to fly into Las Vegas and if the Guest Suite is available."", 'It was perfect for our stay in Vegas!']",['3 guests · 1 bedroom · 2 beds · 1 bath']
41,41,"Modern, bright and centric guesthouse-Remodel.",False,4.82,286.0,normal_host,3 years hosting,€ 51 ,"['Great stay. Yahaira was an excellent host', 'It was a cool place no problem\nAnd the owner is very helpful', 'Very clean place', 'Very nice place', 'It’s a beautiful place I will return again I recommend the place to anybody', 'I absolutely loved the house. I felt right at home. When I entered the house, it smelled divine. Very private and peaceful neighborhood. I definitely recommend staying here.', ""Yahaira was very responsive and helpful. The Airbnb was extremely clean and private. I would definitely recommend booking with her especially if you're looking for some privacy away from the busier areas of Las Vegas."", 'Great place, the owner was great.\nThe accommodation is located 25 minutes from the stripe (but free parking in treasure island).', 'Small, but clean and comfortable. We asked for extra blankets so one of us could sleep on the couch and they were brought to us within an hour. We appreciated the responsiveness and friendly communication. Located in a residential area but an easy drive to anything you need.', 'Yahaira was amazing! Everything was clean and organized, she thought about every single detail. I will definitely stay here when I return to Vegas', 'Would stay again for sure!', ""We stayed at Yahaira's after a few nights on the strip, so it was nice to get away from it and see a bit more of Vegas. It was easy to access, Yahaira provided clear instructions for an easy check in. The bed and bedding was clean and comfy. She provides everything you could need to cook a simple meal. For the price, this was a good place to rest after visiting Red Rocks Canyon and Valley of Fire. There are a few other national parks that are within a two or three hour drive that we would have visited if we had the time, so I appreciate the location and easy access to the freeway. Traffic was never too terrible and the mountains provide an amazing backdrop."", 'This was a really nice stay and it had everything we needed. I would stay here again. The neighborhood is quiet and peaceful and it’s just perfect for 2 people.', 'Nice place! Although, there was dust and hair left on towels and bed.', 'Good and private location! Easy to check in. Host communicated fast and flexible. Everything was great!\nHowever, the bathroom door was a bit hard to open or close. Stayed for 4 days, but in day 2 or 3, wifi was not available to use.', 'Beautiful, clean & the directions for access were clear. The host kept in communication and responded to messages promptly. I enjoyed my stay and plan on booking agin next year.', 'Clean, easy to find and get too and comfy bed', 'Every day we were there, we could hear very loud music blasting through the walls. The listing states it’s a very quiet home which it wasn’t always. The space was very nice and clean and worth the price. The location however, was not great in terms of distance to the strip. It took us 20 minutes, if not 30 to get to the strip and ended up having to pay a lot for Uber. All of the Ubers that we took told us the location wasn’t ideally the best however it seemed pretty OK to us and seemed like a decent neighborhood. Just wanted to note what locals had to say about the area. We did not receive any Wi-Fi info during check-in. the host didn’t make sense sometimes, but maybe it was from translation issues from Spanish to English or perhaps another language, which is OK but more in depth instructions for welcoming and getting Wi-Fi would’ve been a bit more helpful. They were very helpful and helping us locate a DoorDash order when we did receive that. Overall, its nice.', 'great host', 'Convenient location and nice place to stay!', 'Exactly what we needed for our stay in Vegas! Close enough to the strip but not too close. The neighborhood felt very safe and the host was very responsive.', 'Loved!!', 'Beautiful little place to stay, clean and cozy.\nloved the location', 'Easy, simple, and worked out great!', 'It was nice I enjoyed my stay woke up the water was off not sure why Ty', 'Yahaira’s place was lovely, clean, comfortable and cool. It was a short drive to the strip and easy to find.', 'Excellent the best place to rest very quietly ☺️ is our second stay, I love it!', 'Exactly what we needed to get some peace away from the strip.', 'nice place.', 'Very nice and stylish! smelled so clean when I walked in, the stove was too cute, and the bed was comfortable.. nicely decorated, and nice neighborhood. Highly recommended!', 'Very quiet, clean and exactly what was expected. You absolutely need a rental car.', 'just a great stay!', 'Will book again', 'A pleasant stay. Very clean and warming guest house.', 'yahaira was very accommodating and flexible with check in. We felt very comfortable and enjoyed our stay. 10/10 definitely booking her place again.', 'nice quiet place with good location', 'Very good night stay. Thank you', 'Nice place , quiet neighborhood, I will recommend it to anyone!', 'Beautiful airbnb, very accommodating, super clean, and nice owners. I forgot to set my alarm and ended up sleeping in they were super nice about it. Will definitely be visiting again; Spanish speaking as well.\nPropietarios de habla hispana ❤️\nMuchas gracias!', 'This place was perfect for my partner and I to stay at! It was clean and comfy, the surrounding area was great and peaceful. It was so cold and was very helpful that there was a heater! Will definitely stay again!', 'Great spot where we needed to stay for an even we went to.', 'Very nice and comfortable space. Loved the privacy and the area. Very close to wherever you need to go! Definitely will be coming back and will be recommending to others!', 'The host was kind and responded fast .', 'Our stay was very pleasant and we felt at home at all times.\nWe will be happy to come back!', 'Nice place - simple, convenient, comfortable. The two of us stayed one night; it worked well for us.', 'Great cozy place, just what we needed and what was advertised, very helpful owner, great neighborhood', 'This is our review after staying for 3 nights.\nGood:\nGood location, fairly new place.\nBad:\nBedsheets were not clean, No handwash in bathoom or kitchen, Salt was kept in a zip lock, no mats in the bathroom, kitchen utensils were in a bad state - laddles were burnt, toaster should be garbaged.\nWe bought our own handwash, laddles.', 'Cute space! Perfect for the quick trip to Vegas!', 'A nice b&b. Yes i would stay here again', ""This place was very nice, everything was just like it was stated and like it looked on the photos, perfect distance from the city, you're not in the center of craziness yet you're super close to it if you wanna enjoy glamour of Las Vegas. Very nice neighborhood and very peaceful. The apartment has everything you need, it was very clean. Totally would recommend it!!!!!"", 'It was a great stay. We were on our way to California and decided to stop for the night and it was perfect. Great price, extremely clean and quiet. I would definitely stay here again.', 'It was really super nice, very comfortable and affordable in a very quiet area', 'Yahaira’s place is very clean & quite. It meets the description & is located in a safe comfortable neighborhood. It’s about a 25 minute taxi ride from the main strip & 25 minute ride from the airport. We enjoyed our stay.', 'Great stay private entrance', 'A great little place for two people! I love that it was not right next to the Strip but just a short drive. The host was friendly and easy to communicate with. I’d stay here again if I’m in the area.', 'Beautiful location. Wonderful stay, such a good vibe', 'I paid 257 for 3 nights w unwanted guess', ""Nice little studio apartment. The bed was very comfy. We just spent the night, so didn't spend much time there, but what we used was perfect."", 'It was a magnificent stay, the place was extremely comfortable, had the indispensable and we were very comfortable, quiet and above all at home.', ""Super cute little place with a beautiful view of the mountains, in a cute little adobe neighborhood. Felt very peaceful and safe. I will note, though, that if you're like us and looking to save a buck by finding cheaper deals on a place to stay rather than staying close to the Strip, you WILL pay out the nose for rideshares to get pretty much anywhere from here. Think $25 one-way to get to a casino from this place. If you bring/rent your own car or aren't planning to go back and forth from the Strip every day, this is a great deal, but if you plan to use Lyft/Uber, it's probably cheaper and easier to just stay closer to the Strip. This isn't to snub this cute little place, just some general advice regarding location. For this place itself, the only downside is that the sofa bed was pretty hard and uncomfortable. I was traveling with my brother and after the sofa gave him back pain on the second day, we ended up having to make a pillow barricade down the middle of the bed to share it."", 'Nice quiet neighborhood. The place was clean and about 20mins from the Vegas Strip', 'Although far from the center, the house was very quiet and clean. To go downtown and come back we opted for uber. Your own car is unthinkable.\nRecommended for those who want to spend 1-2 days in Las Vegas.', 'loveeed it', 'It perfectly met all we wanted from here. Something not crazy but somewhere to stay in to feel like home. If I would rate it, it would break the scale!', ""This location was fantastic. Very peaceful and quiet neighborhood but close to shops and all basic essentials as well. The apartment itself is beautifully decorated and very very clean. They also made available everything you'll need. Host was very good in responding to messages. Overall very nice and I'll definitely recommend this place anytime"", 'Beautiful and clean . Thanks', 'Came to town on Super Bowl weekend - all the hotels were booked (or a fortune!)\nYahaira’s place was just outside of downtown - a reasonable Lyft/Uber away, but quiet enough to sleep at night.\nWorth it!', 'We enjoyed our stay, it was a very comfortable airbnb and the communication with the host went smooth.', 'Perfect, quiet spot to stay off the strip for me & my husband while attending a convention. The bed and pillows were so comfy and the tile floors were so nice & clean. The neighborhood was safe, clean & very quiet. We slept great!!!', 'Definitely a great stay!!!!!', 'Perfect for a 1 night stay as i was passing through the area. Bed was comfortable. I was satisfied by the place.', 'The stay with Yahaira was very pleasant. Everything as described. Quieter location than right on the Strip and everything we needed. Great that there was a parking space directly.', 'Yahaira’s place was just what I needed for my visit to Vegas. I’ll definitely be booking again on my next visit!', 'The place is as described, a very quiet and pleasant area, very clean and good services, the attention is appreciated.', 'Great stay and very responsive!', 'Very nice hosts, very helpful and the area was very quiet.', 'Had a great stay! Bed was comfy, neighborhood was quiet, very cute guesthouse! Thank you!', ""Very nice and cozy place. My wife and I enjoyed our stay very much! We'll definitely be back."", 'The place was beautiful ! Perfect for two people! I loved the fact that I could smell the bleach , as soon as I opened the door!! That made me feel safe and relaxed! Bed was soft! Great spot! Keep up the great work guys!', 'The place was totally worth it well cleaned as shown in the photos a great place to stay if your near the area!!', 'Yahaira is a wonderful host and made sure I had everything I needed. Instructions were clear on how to enter. The space was clean and comfy. I would recommend staying here. It’s saved in my favorites!!!', ""really cute home but a bit far from the festival grounds and couldn't shower due to the smell in the drain"", 'Simple and convenient for a stay in LV but a little off-center', 'Good affordable place', 'Good place to stay.', 'Everything was great, place is clean and beautiful. A little far away from tourists place 25 minutes from Las Vegas strip.', 'The house was clean. The check in process was straight forward. The room was exactly like in the pictures. There was even a small patio like area you can sit at.\nParking space available right outside .\nHost was responsive.\nIt’s not a luxury apartment, but it is a good place to stay at for a few nights in Vegas.', 'Very clean and comfortable stay!', 'Great place to stay if you’re looking to not be downtown in Vegas! Loved the neighborhood and the bed was incredibly comfortable!!', 'other than the doors being hard to shut it was a beautiful place', ""Yahaira was very responsive and accommodating. The location was perfect, just a 15 - 25 minute drive to the strip (depending on traffic) and a 10 min drive up to the hills if you're into outdoor activities (hiking). My husband and I explored the area for a while and the views were beautiful. Check-in was very simple and Yahaira's instructions were clear and straight forward. The air conditioning isn't a central unit but it works really well and cools down the place very quickly."", 'She was very nice and accommodating! Clean space in a quiet neighborhood. Would book again.', 'Yahaira’s place was easy to find and get in. She was very responsive and was also able to get us checked in early. The neighborhood is quiet and there is no road noise.', 'Great listing and price!', 'Love this place', ""Yahaira's place was exactly as listed. Very clean and in a quiet neighborhood nearby most activities in the Las Vegas area. Would definitely consider booking again."", 'I would not stay here longer than a day. The instructions to get inside were difficult because it was not prefaced the gate would be locked from the inside. The walls were paper thin so you could hear so much. The dogs were loud.\nThe towels looked dusty.\nThere were cobwebs above the kitchen', ""Had an issue with the WiFi and found out it was on Airbnb's end. The hosts change the Wifi after each rental and although they submitted the password to Airbnb, the previous password was listed on the check-in ppw. This caused a problem. I could not work and being a holiday, the only support was overseas and they were less than helpful. I had to call back 4 times and each time they said they would reach out to me via the app or email, both of which I needed the password for. I had to escalate on two different occasions. Once the host was notified, her son came to the door and explained that the password was the old one. This did put a damper on our first day there, July 4th.\nThe space itself was awesome! Spacious and clean. The fridge was great, being that it was 120 outside and needing cold beverages. Bathroom is very modern. We thought we had an issue with the hair dryer, but it must've just overheated. The host did bring over another, just in case....\nGreat value!"", 'Awesome place', 'Great place to stay!! The host was very responsive! We thoroughly enjoyed our stay, and it was close to the Las Vegas strip, but you could also be out of the hustle and bustle of everything and get a great night’s rest! Even after the Airbnb fees and our Uber’s back-and-forth to the strip/Fremont we still ended up saving over $300. We are definitely going to stay here again on our next trip out here!!!', ""I recommend 100%.. ultra clean accommodation and comfortable bed! 10 minute walk to bus. The host made sure we didn't miss anything, great listening! Congrats on everything:)"", 'Very well maintained, super host, great place for vacation. Exactly as pictured on site, enjoyed every minute of it.\nWe will visit again when we come back, a real pleasure, treated us like we were royalty.', 'this place was more than amazing we felt not only comfortable but we felt so safe.', 'Had a good stay']",['3 guests · 1 bedroom · 2 beds · 1 bath']
42,42,Warm & Welcome Suite of Las Vegas!,True,"Rated 4.93 out of 5 stars.
4.93",,Superhost,3 years hosting,€ 54 ,"[""We stayed here for 3 weeks. Very clean and super relaxed. We'll be back. Thanks"", 'a perfect cozy getaway when visiting friends and family in north Vegas! alberto was so accommodating and kind, it was truly a comfy and effortless stay!', 'Alberto’s place is well thought and functional. This is by far our most relaxed and comfortable Airbnb. Home away from home is the best description. Alberto is very flexible with check in. We didn’t even ask but he offered and we appreciate his thoughtfulness. The place is very clean and it matched the description. We’ll definitely book again.', 'Everything was as described . would do it again in a heartbeat', 'We stayed at Alberto’s place for a week in vegas and the guesthouse itself was impeccably clean and well-maintained. The decor was charming and tastefully done, creating a relaxing and comfortable environment. For the price of the airbnb and location, it was definitely worth it.', 'I rented this space for my son, his SO and their 6 year old son. it was absolutely perfect! It was quiet, peaceful, private, clean, and the bed was really comfortable! My grandson slept on the futon which had a fluffy topper, he was comfortable as well. We would stay here again and we recommend the property! Thank you Alberto.']",['3 guests · 1 bedroom · 2 beds · 1 bath']
43,43,"Private & Peaceful, only 13 min strip-airport",True,"Rated 4.91 out of 5 stars.
4.91",,Superhost,2 years hosting,€ 77 ,"['We stayed one night on Airbnb. The pool is a great cooling off (not heated) and the outside area is nice.\nHowever, the room was dirty. There was black hair everywhere. There was black hair in the shower. The ""wardrobe or closet was dusty and stains from glass edge. The fridge was also dirty. The mattress kept sliding.\nIf cleanliness isn\'t important, Airbnb is okay.', 'I truly enjoyed my five day stay.\nAnn communicated with me before and during my stay making sure I understood parking, my entry and key access as well through a very detailed video. This was super helpful. I had to check in a bit earlier than 3pm due to an online business meeting. Ann was so accommodating for this and I was able to get WiFi and my computer set up super easy.\nThe amenities were wonderful! Everything is clean, comfortable, quiet and stocked for making my stay amazing. I loved the decor of the bathroom, bedroom space and patio/pool. There is a mini fridge, coffee mugs with a small coffee machine utensils and plates and microwave. The shower has great water pressure and there were plush towels for the shower and for the pool. The pool water was clean and a little cooler than expected but welcomed after being out in the heat. There are plenty of food places and a Sprouts. The airport is about 15-20. I really enjoyed and recommend this location for off the stip Vegas stay.', 'I had a great stay! Very cozy, bed very comfortable and the pool and outdoor area is wonderful. Place was stocked with what I needed and Ann is super nice and responsive! Came for Life is Beautiful block party, I wanted to be in a quiet place off the strip where I could recover and relax with some alone time each day and it was great for that.', ""We had an absolutely wonderful stay at Ann's place in Las Vegas. The home was exactly as described—clean, comfortable, and with all the amenities we needed for a relaxing vacation. Ann was a fantastic host, always responsive and helpful with any questions we had. One of the highlights of our stay was the incredible pool. It was the perfect spot to cool off after a day of exploring the city and to relax in the evenings. The pool area was well-maintained and made our stay feel like a true getaway.Overall, we couldn't have asked for a better experience. We highly recommend staying at Ann's place if you're looking for a great spot in Las Vegas!"", ""Ann's place was spacious and beautiful. very nice touches and she was very helpful and amazing 💕"", 'I love staying here, it is quiet and lovely accommodation. The bed is very comfortable and the area is away from the strip with lots of good restaurants restaurants nearby.']",['1 bed · Private attached bathroom']
44,44,Gorgeous New Home@ EV L2 Charge@ 10 mins to Strip!,False,5.0,3.0,Superhost,7 years hosting,€ 268 ,"['I absolutely loved my stay at Yuna’s house. It was perfectly described and Yuna was a very nice and responsive host. I will definitely book again when visiting Las Vegas again. Thank you for making my stay very comfortable and enjoyable.', 'Great stay!', 'If ""perfect Air BnB"" was a place, it would be this one! The place was clean & pristine. Yuna\'s attention to details is unmatched. She was communicative, warm, kind, & promptly responsive. She anticipated anything we would need, & the hospitality was impeccable. HIGHLY HIGHLY impressed with this property! Thank you so much for such a great experience, Yuna! See you soon... we will be back!']",['8 guests · 4 bedrooms · 5 beds · 2 baths']
45,45,“*”Beautiful Private room shared bathroom * ”,False,4.80,44.0,Superhost,3 years hosting,€ 68 ,"['Smooth check jn, nice and fast communication. Clean space, calm neighborhood, close to public transportation', 'The place was very clean and the self check in process was easy and straightforward. The room was comfortable after a long day of driving.', 'Beautiful and comfortable place.', 'Amazing place!! All you need and for a great deal. I stayed for a couple days here and Laura responded in matter of seconds when I needed something. The place is really clean and the park is right in front, lots of parking space and even has a private patio. Recommend!', 'None', 'Great host; thank you', 'If you want to be away from the noise and bustle, this is a good place', 'Very nice place for if you are traveling solo or with significant other', 'Overall it’s a decent place to stay however the bed isn’t comfortable, the bedding is thin, and it’s pretty cold at night.. the convenience of self checkout was nice but can’t justify the price for what you get.', 'Lovely place.', 'Nice stay', 'a great stay at a great price', 'Overall they were very responsive which was fantastic, but being woken one early morning by construction being done of the house was rough and the next morning the host’s husband not quietly yelling at the other room guest. Could have been a conversation had outside out of courtesy of other guests. Would probably go elsewhere next time… but appreciated the amenities and quick responses.', 'Great stay!', 'In a few words I liked the place very cozy and for the price it is super highly recommended 😃', ""Laura's place was nice and quiet at night. the stay was great. I def recommend"", 'Everything was fine, thank you to the mistress of the house.', 'Great price to value! Loved the bed, on the firmer side of things just how I like it. Thanks for the great place to stay!', 'nice and cozy. easy to find', 'I was planning to stay for 2 weeks but ended up staying for 4 weeks. I was happy with my stay. They were also helpful and nice people. If I were to come to Şas Vegas again, I know where to look first :)', 'Can’t thank Laura enough, she was awesome, responsive and helpful! The set up is really nice and convenient. Room is very comfortable and I felt very secure staying there. It was worth it! ☺️', 'lovely quiet place to stay for a work trip.', 'Was able to check in immediately after booking, room was clean comfortable and ready to go. TV has Roku channel, free coffee for the coffee maker. Individually keyed rooms, felt very safe.', 'Good, close to Vegas, easy to access.', 'Clean and comfortable place to stay! Friendly host. Would stay here again :)', 'host was really nice. would stay again!', 'Laura was an amazing host very responsive very polite, as well as informative. Me and my daughter felt right at home. We were very comfortable. It was very peaceful, clean and quaint.😊', 'Laura and her partner were such amazing hosts! They are very welcoming and helpful!', 'Laura is super nice. I don’t like to complain, but I think the cleaning crew needs to improve as I found 2 empty plastic bottles under the bed. I stayed in room 1 and there was a noticeable vomit smell as soon as I opened the door, like someone got sick and it wasn’t cleaned/deodorized properly. Bed was fine and there was a huge fan which really helped. Clean bathroom so no other complaints.', 'Quiet and clean everything in description is provided.', 'Everything was just wonderful. I would recommend!', '10 stars', 'Laura was absolutely fantastic! She worked with my schedule and was responsive. Definitely would recommend giving her a try.', 'Great Airbnb experience! The place exceeded expectations, stylish and well-equipped. The host was attentive, making the stay hassle-free. Highly recommend for a comfortable and enjoyable stay.', 'Clean, quiet. Just what I needed. Thank you', 'Laura is great host and very helpful! Definitely will come back for future visits', 'Great place, clean and very straight forward check in process', 'Stayed for total 4 weeks. They were great hosts. People who stayed at the same time was also so nice! It was a nice stay for me. There is 1 free laundry and dryer for a week stay which is nice. Definetely recommend :)', 'thanks again Laura', 'Great hospitality, clean room, excellent communication from the host', 'comfortable stay. easy to get around', 'Saw several other review saying the bed was stiff and I agree it is very stiff, the bathroom is fairly small to be shared with 3 other guest, and there is no half bath so if someone is in the shower you have to wait to use the bathroom. While staying there someone in the residence next door started cooking and you can hear and SMELL everything. Walls are paper thin. All in all the description was accurate but some of these issues wouldn’t be seen in pictures or the description.', 'Super cozy and Clean Laura is an excellent host 5 Stars', 'I really enjoyed my stay at this Airbnb.\nThe room is seperate from the main house with its own entrance and a shared kitchen and bathroom. It was very easy to access the room with detailed instructions on how to get keys from the lock box.\nNeighborhood was quiet and safe.\nThe bed was comfy, and the room had fantastic black out curtains which made this night owl very happy.\nThe room was very clean and communication with the host was fantastic.\nI would definitely stay here again.']",['1 bed · Shared bathroom']
46,46,Luxury Suite - Balcony & Las Vegas Strip Views!,True,"Rated 4.95 out of 5 stars.
4.95",,Superhost,7 years hosting,€ 102 ,"['Colette was amazing! Extremely helpful in making sure our vacation was top notch. We will definitely be looking to staying at Colette’s property in the future', ""Colette is a great host for a great space!\nShe's VERY responsive to any question you may have and is also accommodating. She took the extra mile to recommend me some locations to explore along the Strip and was mindful of walking distance as well. I asked her several questions surrounding the check-in process (which was very easy), what accommodations she has in her space and was very trustworthy and super friendly!\nThe space was SPOTLESS too and I have a high standard of cleanliness. Like, I always check along the bed mantle because I have insane dust allergies and that was SPOTLESS. The furniture and carpet also had signs of recently being vacuumed, the the bathroom was clean and stocked with towels and the closet was stocked with extra linens. It was great!\nOverall, it was a great experience. Colette does a wonderful job of not only managing the space and ensuring that it is clean, but is also caring of her guests.\nI would definitely go back!"", 'This was a great airbnb!', 'Highly recommend booking this place. Beautiful, clean, well worth the money. Staying in a resort at half the resort costs! Colette is a great host…responsive, gave very detailed instructions so no unexpected concerns. One wonderful amenity is a water filter system in the room! This location is also great for attending shows at the Sphere. Would stay here again!', 'All was perfect. Highly recommend', 'I can’t say enough positive things about this property. Colette was an amazing host who was very responsive with answering my questions. The property is amazing. Very clean and spacious. I highly recommend this property and will look to book again during my next visit to Las Vegas.']",['4 guests · 1 bedroom · 2 beds · 1 bath']
47,47,Hidden gem Las Vegas entire guest house,True,"Rated 4.87 out of 5 stars.
4.87",,Superhost,2 years hosting,€ 53 ,"['Anthony was a fantastic host and we thoroughly enjoyed our stay! Would definitely recommend!', 'Great stay for the value.', 'We had an outstanding stay with this hidden gem!\nIt was so quiet and peaceful! Just like the photos, quaint and extremely clean, had all the amenities we needed. We will definitely be back!\nAnthony is a great host!', 'Anthony’s place was super clean and there were plenty of extra supplies (such as towels) if needed. The location is 5 minutes away from plenty of good restaurants.\nWould definitely recommend staying here.', 'Everything as in the description', 'A clean and tidy home nestled in a quiet area.\nAccess to Strip with ride sharing.\nAnthony is a good host, we communicated well and he gave us helpful advice.\nRecommended.']",['4 guests · 1 bedroom · 2 beds · 1 bath']
48,48,Vdara Studio 52nd FL Bellagio Ftns NO RESORT FEES,True,"Rated 4.94 out of 5 stars.
4.94",,Superhost,9 years hosting,€ 221 ,"['This was our 2nd time in Vegas, we stayed at another hotel toward the other end. We found this hotel and Suite to be absolutely perfect for an anniversary getaway! The Vdara was perfect, quiet and attached to the Cosmo, Bellagio. Easy access to the Aria (pool as well which we utilized one day) Park MGM and more. Ridiculous night day and night views from this room. We’ll definitely be staying here again.', 'A lovely stay in a fantastic room with incredible views. Being connected via walkway to Cosmo, Bellagio and the Crystals/Aria/Park MGM Tram was so convenient. Aria just across a short sidewalk. The room was exactly as described and beds were comfortable. I was a bit concerned about how comfortable the pull out couch would be but had no complaints. An issue on the hotel’s behalf was quickly responded to by the hosts and they were proactive in providing resolutions above and beyond what was expected. I would absolutely stay here again!', 'Impressive and breathtaking views of the Bellagio strip and fountains. Very clean, comfortable,and as described.\nChris and Alan were responsive to every request/questions.\nAmazing stay in Las Vegas!', ""Super nice place to stay with a stunning view from the 52nd floor to the Strip.\nThe beds are very comfortable, the whole apartment is very appealing.\nWe'll be happy to come back."", 'I recently booked a stay for my parents at Vdara Hotel in Las Vegas, and it was an outstanding experience. The host’s communication was top-notch from the beginning, providing clear instructions and promptly answering any questions, ensuring my parents had a smooth check-in and stress-free stay. The host’s attentiveness made everything so much easier, adding a personal touch that elevated the experience.\nThe location was absolutely perfect for their trip, as Vdara is just a short, convenient walk to Dolby Live, where they attended a concert. This prime location allowed them to enjoy the evening without worrying about transportation or long commutes. Nestled in the heart of the Strip, Vdara offered easy access to dining, entertainment, and nearby attractions, while still maintaining its peaceful, non-gaming, non-smoking atmosphere. After the concert, my parents loved retreating to their spacious, luxurious suite with stunning views of the city.\nOverall, unbeatable location.', 'Place was as described. They were helpful and proactive with their instructions for the process. Great work place either way a great location for Vegas.']",['4 guests · Studio · 2 beds · 1 bath']
